customer_text,draft_reply,method,top_similarity,judge_faithfulness,judge_relevance,judge_tone,judge_overall,judge_rationale,judge_judge
my account has been premium for a while now but I renewed my subscription since I changed my bank card now itkeeps saying free,"1: Hey Amanda! We're sorry to hear this, and we'd recommend deleting your previous tweet since it contains personal account info.",offline_extractive_top1,0.28095882402659444,5,3,3,4,"heuristic: faith_overlap=1.00, rel_overlap=0.10, next_step=False",heuristic
"Hi Spotify, I have an old PS4 account which got banned still linked to my Spotify account, how do I unlink them?","Hi Paul, we'd love to help out. Can you DM us your account's username/email address? We'll check backstage /AC",offline_extractive_top1,0.2286142034660742,5,3,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.10, next_step=True",heuristic
it’s not letting me access my account because it says I need to make a new password. But every time i go to do that it says that the CSRF token is invalid. Please help.,"Hi Nafis! Can you DM us your account's username or email address, along with a screenshot of the error message you're getting? We'll look into this for you /NH",offline_extractive_top1,0.38850156687664134,5,3,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.07, next_step=True",heuristic
"hiya, i need to get into a artist account - Hello Skinny - but we have lost all membership details - how can I log in? thanks!","Hey Jim, help's arrived! Could you send us a DM with your account's email address or username? We'll take a look backstage /CH",offline_extractive_top1,0.278071968541612,5,3,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.05, next_step=True",heuristic
"my spotify account has been disabled, is there anyway you guys can reactivate it again?",Hey there! We've sent a reply to your DM. Let's carry on chatting there /LP,offline_extractive_top1,0.39062801637085676,5,3,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.07, next_step=True",heuristic
Except after the first time I changed my password and unlinked the tv I had hooked to stream. So why is it happening again.,"We appreciate the update, but were you able to get in touch with our Accounts team? /AC",offline_extractive_top1,0.33214748447604836,5,3,3,4,"heuristic: faith_overlap=1.00, rel_overlap=0.12, next_step=False",heuristic
Can you please update us on how long these problems will take to fix? I still can't log in due to them :/,"Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.21453203252826494,5,4,5,5,"heuristic: faith_overlap=0.45, rel_overlap=0.14, next_step=True",heuristic
But now that I deleted it I can’t log in at all. Please email me and I can explain.,Hey! We have support via email at but we're happy to help you out here on Twitter. We'd recommend deleting your tweet for security as it contains your personal info. Can you DM it to us instead? We'll take a look backstage /KM,offline_extractive_top1,0.33762999261191046,5,4,5,5,"heuristic: faith_overlap=1.00, rel_overlap=0.13, next_step=True",heuristic
why is my Spotify playing random songs when the app is closed? I changed my password and logged out of everywhere,"We appreciate the update, but were you able to get in touch with our Accounts team? /AC",offline_extractive_top1,0.3532942190330306,5,3,3,4,"heuristic: faith_overlap=1.00, rel_overlap=0.06, next_step=False",heuristic
need some assistance - need to reset password but do not have access to the email anymore.,Hey Jose! We're here to help. Can you DM us your account's email address? We'll take a look under the hood /AN,offline_extractive_top1,0.32563305894573236,5,4,5,5,"heuristic: faith_overlap=1.00, rel_overlap=0.14, next_step=True",heuristic
my account randomly logged out on both of my devices and won’t let me log back in. i tried resetting my password but it’s saying the account doesn’t even exist. i can’t cancel payment and make a new account because it won’t let me access anything. please help,"Hey, help's here! Can you DM us your account's username or email address? We'll take a look under the hood /RS",offline_extractive_top1,0.32158031680180715,5,4,5,5,"heuristic: faith_overlap=1.00, rel_overlap=0.14, next_step=True",heuristic
can you please give me a customer service contact that doesn't require a log in. Need to question your bank charges,Hey there! Could you DM us your account's username and email address? We'll take a look backstage /DF,offline_extractive_top1,0.23410681923469862,5,4,5,5,"heuristic: faith_overlap=1.00, rel_overlap=0.17, next_step=True",heuristic
"Someone is using my account, i've already changed my password 3 times but it keeps showing weird music in my recently played?",Hi there! Can you send us your email address or username via DM? We'll take a look under the hood /HC,offline_extractive_top1,0.3775306327124777,5,2,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.00, next_step=True",heuristic
iv a new account but it won't allow me to log in on the apps (just the web server version). can't log in on phone or laptop,Hey! We'd suggest deleting your tweet for security. Can you DM us your account's email address instead? We'll check this out backstage /CE,offline_extractive_top1,0.25368770439626287,5,2,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.00, next_step=True",heuristic
"Hey , I'm trying to login to the web player and I'm getting this error message: ""Oops! Something went wrong, please try again or check out our help area."" Any idea what's up? Thanks!",Hi! We've just sent a DM your way. Let's carry on chatting there /GK,offline_extractive_top1,0.47038445942042695,5,2,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.00, next_step=True",heuristic
tolong dibantu saya tidak bisa log in ke akun saya auliafarefa. Sudah pake fitur lupa password tapi email tidak masuk,"Hey! We can help out in English via Twitter, but we also have Indonesian support via email at /AN",offline_extractive_top1,0.4720669100815048,5,3,3,4,"heuristic: faith_overlap=1.00, rel_overlap=0.12, next_step=False",heuristic
"hey,registration not working properly.when you register new account with Login XXXX, your login will look like 24 char hash","Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.1667210504615907,4,3,5,4,"heuristic: faith_overlap=0.31, rel_overlap=0.10, next_step=True",heuristic
I have a premium account with Spotify but can’t recall either password or email address... I do however have the payments details??,"Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.18971364306472419,4,3,5,4,"heuristic: faith_overlap=0.34, rel_overlap=0.10, next_step=True",heuristic
PLEASE help me fix this! I'm locked out of my account someone changed the email address and password.,"Hey Adam, we're sorry to hear that! Can you DM us your account's username and email address? We'll take a look backstage /JX",offline_extractive_top1,0.5394672907052106,5,4,5,5,"heuristic: faith_overlap=1.00, rel_overlap=0.13, next_step=True",heuristic
But they didn't get into my account. They just clicked th forgot password button. Still suspicious and they should be banned from your service.,"Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.18568638014366695,4,3,5,4,"heuristic: faith_overlap=0.34, rel_overlap=0.07, next_step=True",heuristic
I need technical help and every time I attempt to log in I get wrong password. I try to reset and never get the link via email. Not in spam folder either.,"Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.17436568877042266,5,4,5,5,"heuristic: faith_overlap=0.45, rel_overlap=0.14, next_step=True",heuristic
Why do I have to ALWAYS connect me on Spotify Web ? (I'm connecting with facebook login),"Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.20024983084454695,5,3,5,4,"heuristic: faith_overlap=0.52, rel_overlap=0.03, next_step=True",heuristic
"can you please help me, I want to cancel my subscription but I can’t remember my username and my account isn’t linked to my email or Facebook. 😥😥 I’ve forgotten t login details",Hey Adam! We've just sent a DM your way. Let's carry on chatting there /AN,offline_extractive_top1,0.3820498517706576,5,2,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.00, next_step=True",heuristic
my account won't link w my anymore plz give me ur password I just wanna watch bobs burgers,Hey! Can you give us a bit more info on what's going on? We'll do our best to help /CB,offline_extractive_top1,0.344510452562652,5,3,3,4,"heuristic: faith_overlap=1.00, rel_overlap=0.05, next_step=False",heuristic
"Hi, I have trouble resetting my password. This message always occurs after I click send. Thanks!","Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.1890356476673004,5,3,5,4,"heuristic: faith_overlap=0.41, rel_overlap=0.07, next_step=True",heuristic
I signed up for the $9.99 plan but I can't log in.,"Hi Brendan, help's arrived! Can you DM us your account's email address? We'll take a look backstage /DV",offline_extractive_top1,0.2733023530233228,5,2,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.00, next_step=True",heuristic
you charged me and I can't access my account. Tweeting the only way to resolve an issue? Terrible customer service smh,Hey there! Can you DM us your account's username or email address? We'll take a look backstage /AP,offline_extractive_top1,0.24733367443010684,5,3,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.06, next_step=True",heuristic
I am having issues with my account. I need help resetting my password.,"Hi Carolina! What's happening exactly? Could you send us more details, along with your account's email address via DM? We'll do our best to help out /NJ",offline_extractive_top1,0.43424922457065984,5,3,3,4,"heuristic: faith_overlap=1.00, rel_overlap=0.07, next_step=False",heuristic
My email is associated with an FB account I don't have access to -- so I can't log in to that Spotify account to cancel. Help?,Hey there! We've just replied to your DM. We'll carry on helping there /JX,offline_extractive_top1,0.3121900683998826,5,3,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.08, next_step=True",heuristic
after all this trouble w u canceling my account? Have now double paid and am hearing commercials? Only shuffle access?,"Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.18013609447707574,5,3,5,4,"heuristic: faith_overlap=0.38, rel_overlap=0.07, next_step=True",heuristic
"i want to cancel my premium but don't know what email i used, i know the username though, what do i do?",Can you send us a DM with your account's email address? We'll check things out /JO,offline_extractive_top1,0.3854507292578591,5,3,3,4,"heuristic: faith_overlap=1.00, rel_overlap=0.06, next_step=False",heuristic
why the hell is it so hard to cancel my membership????,"Hey Vincent! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /LO",offline_extractive_top1,0.33004447881817606,5,3,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.11, next_step=True",heuristic
"So I cancelled my subscription today, this is what they sent me #truelove",Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ,offline_extractive_top1,0.2990975193914168,5,2,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.00, next_step=True",heuristic
"i have premium, but when i go to my profile it says that i am using free. That is not correct i dont hear ads and i pay for premium, but in the sub tab it says ""You're currently Spotify Free""",Hey there! Can you DM us your account's email address or username? We'll check backstage /AR,offline_extractive_top1,0.2413074957868768,5,2,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.00, next_step=True",heuristic
I like the new deal to pay up front for a year. But what if I want to switch to a family plan part way through the year? How would that be billed?,"Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.16429724841290028,5,4,5,5,"heuristic: faith_overlap=0.45, rel_overlap=0.21, next_step=True",heuristic
is awesome; took care of our issue and issued us a refund! #GoodCustomerService,Thanks for the kind words Marc! You rock 🤘 /Q,offline_extractive_top1,0.291669805483575,5,2,3,3,"heuristic: faith_overlap=1.00, rel_overlap=0.00, next_step=False",heuristic
"ive been charged with monthly premium charges h/ever when im about to cancel my subscription,it show that im not under premium",Hey there! Could you DM us your account's username or email address? We'll take a look backstage /GU,offline_extractive_top1,0.22210618425313836,5,2,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.00, next_step=True",heuristic
Valerie Rushton (valeriespot) £9.99 paid from my bank a/c 23.10.76 but premium not activated.,"Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.20310105891449148,5,3,5,4,"heuristic: faith_overlap=0.38, rel_overlap=0.03, next_step=True",heuristic
"Hi, can I activate a free trial for Spotify Family? Thanks",Hey Chris! Could you send us a DM with your account's email address? We'll take a look backstage /QI,offline_extractive_top1,0.35428013895661,5,3,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.06, next_step=True",heuristic
Hello I was wondering why I am being charged twice for my music every month?,"Hey Toby, help's here! Can you DM us your account's username and email address? We'll check it out 🔍 /TR",offline_extractive_top1,0.26695615560835695,5,2,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.00, next_step=True",heuristic
how do I get a refund on an accidental purchase of premium?,Hey there! Can you DM us your account's email address or username? We'll take a look backstage /NQ,offline_extractive_top1,0.3538864662612127,5,3,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.06, next_step=True",heuristic
"if I have a payment pending and my renewal is 12/10 and I just cancelled premium, will I get my money back from pending??","Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.21357416117895534,5,3,5,4,"heuristic: faith_overlap=0.52, rel_overlap=0.10, next_step=True",heuristic
why after months of being £4.99 with my student discount has it charged me £9.99?,Hi Ash! We have some info about the Spotify app on Roku here: Give us a shout if there's anything else /ME,offline_extractive_top1,0.24249792102702616,5,3,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.05, next_step=True",heuristic
"hi just signed up to premium. My mobile network has just given me premium free for a year though, do I have to cancel my paid account and start a new account to get the free one from my network or can I keep same details","Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.1848576648032058,5,4,5,5,"heuristic: faith_overlap=0.38, rel_overlap=0.24, next_step=True",heuristic
Hey! It’s more I have a prem account but I’ve been added to a family account. What’s the process to cancel premium?,"Hi Vicki, sorry for the delay! You can cancel your Premium for Family plan anytime. Just follow the steps at We'll be here if you have other questions 👍 /RR",offline_extractive_top1,0.26306942507381786,5,4,3,4,"heuristic: faith_overlap=1.00, rel_overlap=0.19, next_step=False",heuristic
Spotify better get their shit together before I cancel my subscription and move over to Apple Music 😒,Hey there! We'd love to help. Can you let us know what's happening exactly? /RC,offline_extractive_top1,0.31958875407015097,5,3,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.07, next_step=True",heuristic
Why are there so many Slash and Guns N Roses songs that are unplayable? I'm going to cancel my subscription,"Hey Jessie, sometimes content gets removed because of licensing changes. Hopefully we'll have them available again soon! /SY",offline_extractive_top1,0.2982822370896325,5,2,3,3,"heuristic: faith_overlap=1.00, rel_overlap=0.00, next_step=False",heuristic
Actually this month y’all charged me three times. All three times funds were withdrawn from my account. I would like to get this resolved as quickly as possible,"Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.2156400264330237,5,3,5,4,"heuristic: faith_overlap=0.41, rel_overlap=0.10, next_step=True",heuristic
I need help with a billing problem. Cancelled premium but still got charged. Please help.,Hi Mauricio! We've just sent you a bit more info over DM. We'll carry on helping out there /CP,offline_extractive_top1,0.38039558213925956,5,3,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.05, next_step=True",heuristic
"Hi Spotify, you accidentally charged me 5 times can you please help me resolve this issue please? Thanks.","Hey! Don’t worry, we can help. What’s happening exactly? We'll see what we can suggest 🙂 /CG",offline_extractive_top1,0.32773803737258245,5,4,3,4,"heuristic: faith_overlap=1.00, rel_overlap=0.13, next_step=False",heuristic
I've been charged 3 times for premium yet haven't even received the premium??? I'd like a refund pls pal,Hi there! That doesn't sound good. Can you DM us your account's email address or username? We'll take a look backstage /PB,offline_extractive_top1,0.2698428236341273,5,3,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.05, next_step=True",heuristic
Wish wouldn't over charge me then air my dms??,"Hey there! Don't worry, help's here. Can you DM us your account's email address or username? We'll take a look backstage /MT",offline_extractive_top1,0.2614959397068369,5,2,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.00, next_step=True",heuristic
Hi. Arent we all a premium member in the beginning? I've tried to pay by my SIM Card but it said that I don't have enough credit in my SIM Card which is wrong,Hi. We've sent a DM your way. We'll carry on helping out there /AY,offline_extractive_top1,0.2225465721289282,5,4,5,5,"heuristic: faith_overlap=1.00, rel_overlap=0.14, next_step=True",heuristic
My Spotify bill has jumped up to £14.99 per month but I don't know why. Can you please advise?,"Hi! Can you tell us more about what's happening? What device, operating system, and Spotify version are you using? We'll check backstage /JE",offline_extractive_top1,0.32984063915742146,5,4,3,4,"heuristic: faith_overlap=1.00, rel_overlap=0.14, next_step=False",heuristic
i paid $6.99 for g-daughter account. Money taken. No account. Pmnt no P03BB81C61,"Hey Colette, help's here! Can you DM us your account's email address? We'll look into it /GS",offline_extractive_top1,0.2980545730070305,5,2,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.00, next_step=True",heuristic
please help. Trying to cancel my account. But to no avail. Please help. Thanks,"Hey Darren, help's here. Can you tell us more about what's happening? What device, operating system, and Spotify version are you using? /AY",offline_extractive_top1,0.39362770341885445,5,2,3,3,"heuristic: faith_overlap=1.00, rel_overlap=0.00, next_step=False",heuristic
"Dear : If I wanted words, I wouldn't be listening to your intense studying playlist. Love Bill Murray, but not here.",Hey! Thanks for the feedback – we appreciate it! We’ll get this passed onto the right team /NQ,offline_extractive_top1,0.3716863509172929,5,2,3,3,"heuristic: faith_overlap=1.00, rel_overlap=0.00, next_step=False",heuristic
I just cancelled my premium subscription cos you guys are giving me the hardest time paying my subscription via mobile payment. Pls do something about this!!! I loaded 300 in total using 2 phones! 150 for each phone 😭,Hi there! Can you DM us the links to the profiles? Just tap the three dots > Share > Copy Link. We'll check backstage /AP,offline_extractive_top1,0.2609406466054338,5,4,5,5,"heuristic: faith_overlap=1.00, rel_overlap=0.14, next_step=True",heuristic
is the family premium account for £14.99 per month allow you the 30 day free trial like the normal premium one?,Hi! Help's here. Can you DM us your account's username and email address? We'll take a closer look /SV,offline_extractive_top1,0.2495889125870238,5,3,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.05, next_step=True",heuristic
My heart dropped. All of Anita Baker’s albums are removed from Spotify. Idk what you did but you better apologize and fix it.,"Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.21441909492059108,4,4,5,4,"heuristic: faith_overlap=0.34, rel_overlap=0.14, next_step=True",heuristic
#Reputation is out and it's not on Spotify yet 😭😭 dude!!,"Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: /BM",offline_extractive_top1,0.3347240214847095,5,3,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.11, next_step=True",heuristic
Why isn't on Spotify? You guys are slacking🌊,Hey! We’ll have it available to you as soon as it’s available to us: /RA,offline_extractive_top1,0.3155750283199036,5,3,3,4,"heuristic: faith_overlap=1.00, rel_overlap=0.08, next_step=False",heuristic
Why isn’t trust issues by drake not on Spotify? I need answers,"Hey there! We'd love to have all the world's music available, but we have more info about content here: /DB",offline_extractive_top1,0.40107259465583833,5,2,3,3,"heuristic: faith_overlap=1.00, rel_overlap=0.00, next_step=False",heuristic
