golden_id,customer_issue,support_response,human_relevance,human_helpfulness,human_response_quality,human_notes,rag_response,llm_relevance,llm_helpfulness,llm_response_quality
40,"Hey @115888 - if you’re not gonna let me take advantage of your latest special offer, kindly refrain from sending it to me. #tease",@267855 Hey! That doesn’t sound right. Could you DM us your account's email address and a screenshot of the email/notification? /QI https://t.co/ldFdZRiNAt,,,,,@267855 Hey! That doesn’t sound right. Could you DM us your account's email address and a screenshot of the email/notification? /QI https://t.co/ldFdZRiNAt,,,
41,"@SpotifyCares Just migrated from Groove Music and subscribed to Spotify, under 30-day free trial now. How do I avail of the 60-day trial?",@534988 2: signed up for the 30-day trial. Can you DM us your account's email address? We'll take a look backstage /SJ https://t.co/ldFdZRiNAt,,,,,@534988 2: signed up for the 30-day trial. Can you DM us your account's email address? We'll take a look backstage /SJ https://t.co/ldFdZRiNAt,,,
42,@115888 @spotifycares please tell me someone is looking into this.  https://t.co/hq6f8GtZ5A,"@669944 Hey there! Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated /GU",,,,,"@669944 Hey there! Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated /GU",,,
43,"@SpotifyCares If this actually happens, please let me know ❤️ I love you more than you can ever know","@819437 No worries. Just let us know if there's anything else. In the meantime, keep in mind that... https://t.co/fQMk2dH3sI 🙂 /NQ",,,,,"@819437 No worries. Just let us know if there's anything else. In the meantime, keep in mind that... https://t.co/fQMk2dH3sI 🙂 /NQ",,,
44,@SpotifyCares It should be set to US,"@325112 Got it. We’d love to have all of his music available for you, but we have some info about content here: https://t.co/0i8GpimuDa /JU",,,,,"@325112 Got it. We’d love to have all of his music available for you, but we have some info about content here: https://t.co/0i8GpimuDa /JU",,,
45,@SpotifyCares I'm being charged full amount and I have student payment set up. Help,"@600810 Hey Katie, we've come to the rescue! Could you DM us your account's username or email address? We'll check backstage /RE https://t.co/ldFdZRiNAt",,,,,"@600810 Hey Katie, we've come to the rescue! Could you DM us your account's username or email address? We'll check backstage /RE https://t.co/ldFdZRiNAt",,,
46,@SpotifyCares when does the offer to get 3 months of premium for $9.99 expire?,"@219895 Hey there, the offer will end on the 31st of Dec 2017. Strike while the iron's hot! 🔥 /SY",,,,,"@219895 Hey there, the offer will end on the 31st of Dec 2017. Strike while the iron's hot! 🔥 /SY",,,
47,"Hey @115888 
So my friends and I are trying to create a family account, but i don't get the mail to accept. How can we change that?",@668450 Hi Emil! We've just sent you a DM 🙂 /QI,,,,,@668450 Hi Emil! We've just sent you a DM 🙂 /QI,,,
48,@115888 no seriously when can I️ start streaming new T-Swizzle,"@667856 We hear you! We don't have any news on this right now, but we'll have it available to you as soon as it's available to us 🙂 /TB",,,,,"@667856 We hear you! We don't have any news on this right now, but we'll have it available to you as soon as it's available to us 🙂 /TB",,,
49,Okay. Found out they weren’t deleted but were moved to my other page. Why? @115888,@191232 Hey there! Can you let us know what happened exactly? We'll look into it /GS,,,,,@191232 Hey there! Can you let us know what happened exactly? We'll look into it /GS,,,
50,"@SpotifyCares i can't search for artists, I can't play songs and everything takes AGES to load and whatever I'm trying to do doesn't work",@394723 Got it. We've just replied to your DM. Let's carry on chatting there /DV,,,,,@394723 Got it. We've just replied to your DM. Let's carry on chatting there /DV,,,
51,@115888 Why would u suggest me this shit when Im tryin to play Chief Keef ? Ur supposed to suggest me related artists/songs u stupid cunt. https://t.co/Xneocqkokb,"@624965 Hi there! To reduce the number of Suggested Tracks you get, try adding more artists into your playlists. Hope this info helps /DR",,,,,"@624965 Hi there! To reduce the number of Suggested Tracks you get, try adding more artists into your playlists. Hope this info helps /DR",,,
52,"@SpotifyCares yep, but iys haooen too often",@312606 Is this happening to this album alone? Could you check other tracks/albums as well? We'll wait for your reply /JP,,,,,@312606 Is this happening to this album alone? Could you check other tracks/albums as well? We'll wait for your reply /JP,,,
53,@spotifycares &amp; @115888 at least twice a week your webplayer craps out on me. today the entire site is down. i want some free months on my account b/c this service is not worth what i'm paying.,"@351439 Hey! We had a little hiccup backstage, but it should be working now. We're here if you need us /JS",,,,,"@351439 Hey! We had a little hiccup backstage, but it should be working now. We're here if you need us /JS",,,
54,"@SpotifyCares Honestly, I might just be done with @115888 for this. You just ruined my giving my daughter something really cool.",@658002 2: us a DM with both of your email addresses or usernames? We'll take a look backstage /LO https://t.co/ldFdZRiNAt,,,,,@658002 2: us a DM with both of your email addresses or usernames? We'll take a look backstage /LO https://t.co/ldFdZRiNAt,,,
55,"@SpotifyCares please help, I brought premium package but I can’t share my spotify to another it’s error when they’re register account :(",@310148 Hey! Help's here. Can you DM us your account's email address and tell us more about what's happening? We'll see what we can suggest /RA https://t.co/ldFdZRiNAt,,,,,@310148 Hey! Help's here. Can you DM us your account's email address and tell us more about what's happening? We'll see what we can suggest /RA https://t.co/ldFdZRiNAt,,,
56,@115888 why don't you have an Apple watch app?!,@756191 Hey! Check out the official idea and add your vote to let our devs know it's something you'd like to see: https://t.co/SEK4E4gi22 /BD,,,,,@756191 Hey! Check out the official idea and add your vote to let our devs know it's something you'd like to see: https://t.co/SEK4E4gi22 /BD,,,
57,@SpotifyCares Your samsung ad loads but doesn't play permanently disabling the stream.,"@637942 Hey there! That doesn't sound good. Can you let us know the device, operating system, and app version you're using? We'll see what we can suggest /PB",,,,,"@637942 Hey there! That doesn't sound good. Can you let us know the device, operating system, and app version you're using? We'll see what we can suggest /PB",,,
58,Truly offended by my @115888 Discover Weekly playlist this week. Bob Weir? Joe Walsh? Traffic? Little Feat? Seriously GTFO of here,"@715372 Hi Michael. Discover Weekly is based on what you, and others like you, are listening to. Hopefully it’s more in tune with your tastes next week! Give us a shout if you need anything else /DN",,,,,"@715372 Hi Michael. Discover Weekly is based on what you, and others like you, are listening to. Hopefully it’s more in tune with your tastes next week! Give us a shout if you need anything else /DN",,,
59,@115888 I think there is a mistake. Why is @22393 the icon of @364751 ? I know #reputation era is dark but err... #taylorswift #oops https://t.co/iZRaAkRR4J,@409642 Hey there! That doesn't seem right. Could you try logging out &gt; logging back in? Let us know how that goes 🙂 /CG,,,,,@409642 Hey there! That doesn't seem right. Could you try logging out &gt; logging back in? Let us know how that goes 🙂 /CG,,,
60,@SpotifyCares It sometimes takes forever to scroll ALL the way down to get to the singles. Just make an option to go straight to singles.,"@125449 2: our Community: https://t.co/YvOp6xWJrG. If you need anything else, just let us know /MC",,,,,"@125449 2: our Community: https://t.co/YvOp6xWJrG. If you need anything else, just let us know /MC",,,
61,"Spotify is down..

And that right there is the problem with streaming music.",@808045 Hey Ashley! Everything should be running smoothly now. Let us know if this is still happening /FR,,,,,@808045 Hey Ashley! Everything should be running smoothly now. Let us know if this is still happening /FR,,,
62,"So @115888 work this out, ""listen 2 the short advert n get 30min ad free music"" 6 min later ""listen.."" repeat. (also add ad is listened to)","@594886 Hey, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /NY",,,,,"@594886 Hey, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /NY",,,
63,"@SpotifyCares Thanks, that looks to have fixed it. Hopefully it won’t reoccur. Any ETA on an iPhone X update?","@328379 No worries! Glad to hear it's working. Also, we're afraid we currently don't have any info to share about the iPhone X update /JS",,,,,"@328379 No worries! Glad to hear it's working. Also, we're afraid we currently don't have any info to share about the iPhone X update /JS",,,
64,"My ""Discover"" playlist on Spotify today is just loads of covers of Harvest Moon by Neil Young.","@126822 2: your tastes next week. If anything else comes up, we're just a tweet away 🙂 /NG",,,,,"@126822 2: your tastes next week. If anything else comes up, we're just a tweet away 🙂 /NG",,,
65,"@115888 why did my music go from 1,600 songs to 100","@666304 Hey there! Don't worry, help's here. Can you DM us your account's email address or username? We'll take a look backstage /MT https://t.co/ldFdZRiNAt",,,,,"@666304 Hey there! Don't worry, help's here. Can you DM us your account's email address or username? We'll take a look backstage /MT https://t.co/ldFdZRiNAt",,,
66,so uHhhHh @115888 ever gonna let me listen to hello by seventeen,"@610741 Hey Alma! Fingers crossed we'll be able to have it available soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /JT",,,,,"@610741 Hey Alma! Fingers crossed we'll be able to have it available soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /JT",,,
67,"@115888 a HIGH volume of songs do not contain a clean version, why is this? Please respond within 24hrs or I must move to @115948. Thnx",@609145 Hey! Where possible we have both versions available. More info here: https://t.co/uKBxlsmKqi /RB,,,,,@609145 Hey! Where possible we have both versions available. More info here: https://t.co/uKBxlsmKqi /RB,,,
68,Hi @118266 untuk promo 3 bulan 49.900 berlaku untuk yg sdh pernah pakai premium gak ya? Atau utk pelanggan baru saja?,@268783 Hi again! We hope you don't mind us replying in English. Can you DM us your account's email address or username? We'll take a look backstage /JE https://t.co/ldFdZRiNAt,,,,,@268783 Hi again! We hope you don't mind us replying in English. Can you DM us your account's email address or username? We'll take a look backstage /JE https://t.co/ldFdZRiNAt,,,
69,@116130 hey do youse know when the perfect velvet album will be on spotify? thank youuu,"@746461 Hi there! We’ll have it available to you as soon as it’s available to us! https://t.co/0i8GpimuDa. For now, let us know if you have other questions /GT",,,,,"@746461 Hi there! We’ll have it available to you as soon as it’s available to us! https://t.co/0i8GpimuDa. For now, let us know if you have other questions /GT",,,
70,Hi @115888 @SpotifyCares be cool to be able to share folders via URL...? #please?,@336433 We can see how that’d be useful! Suggest it in our Community where you can get support from other fans: https://t.co/WgY7GXI7jf /JN,,,,,@336433 We can see how that’d be useful! Suggest it in our Community where you can get support from other fans: https://t.co/WgY7GXI7jf /JN,,,
71,@SpotifyCares FYI the update you put out yesterday didn’t correct the issue 😡😡😡😡,@311994 Sorry to hear about that. Could you try reinstalling the app? Just follow the steps at https://t.co/46sWVpIvlI. Any better? /JP,,,,,@311994 Sorry to hear about that. Could you try reinstalling the app? Just follow the steps at https://t.co/46sWVpIvlI. Any better? /JP,,,
72,"@SpotifyCares Hi, my account suddenly get upgraded to family account. Thankfully i realized before i get the bill. How can it happened? I'm seeing that many people got the same problem. Are you trying to rob us?","@472542 Hi, help's here! Can you DM us your account's username and email address? We'll check it out 🔍 /TR https://t.co/ldFdZRiNAt",,,,,"@472542 Hi, help's here! Can you DM us your account's username and email address? We'll check it out 🔍 /TR https://t.co/ldFdZRiNAt",,,
73,@651828 @115888 @SpotifyCares Apps have been updated since before the iPhone X was even released. Using a robot to respond to customers is just pissing people off even more spitting out the same responses to customers,"@432371 2: If there's one thing we can guarantee, is that we're not robots. Let us know if we can help anything else /MU",,,,,"@432371 2: If there's one thing we can guarantee, is that we're not robots. Let us know if we can help anything else /MU",,,
74,I get my verification yet it gives me access to the wrong artist page. Also my music is under the same incorrect artist name. Thx @115888,@537517 Hey there! We’d recommend reaching out to your distributor. They'll work with our team to make sure your artist page gets fixed up /CG,,,,,@537517 Hey there! We’d recommend reaching out to your distributor. They'll work with our team to make sure your artist page gets fixed up /CG,4.0,4.0,4.0
75,"@SpotifyCares just joined family premium and sent an invite, my family member has clicked accept invite link in email but nothing happens?",@575327 Hey David! Can you DM us your account's username and email address? We'll also need the same for your family member /JL https://t.co/ldFdZRiNAt,,,,,@575327 Hey David! Can you DM us your account's username and email address? We'll also need the same for your family member /JL https://t.co/ldFdZRiNAt,5.0,4.0,4.0
76,@SpotifyCares Okay Spotify,@271218 Great! Feel free to send a tweet our way if you need help with anything else /JI,,,,,@271218 Great! Feel free to send a tweet our way if you need help with anything else /JI,2.0,1.0,3.0
77,"@SpotifyCares Hey I work at starbucks, but for some reason I cant get my free spotify premium, it always gives me an error","@267876 Hey there! As a Starbucks Partner, you can find out how to start or manage your subscription by heading to the Starbucks Partner Hub or Retail Portal. You can also call the PCC Center on 1866-504-7368. Let us know if you need help with anything else /BP",,,,,"@267876 Hey there! As a Starbucks Partner, you can find out how to start or manage your subscription by heading to the Starbucks Partner Hub or Retail Portal. You can also call the PCC Center on 1866-504-7368. Let us know if you need help with anything else /BP",5.0,5.0,5.0
78,@115888 can I download albums to hear offline at the computer or this is available only to playlists?,@164933 Hey there! You'll need to put the tracks in a playlist to set them offline. More info here: https://t.co/1z13MJsB33 /NQ,,,,,@164933 Hey there! You'll need to put the tracks in a playlist to set them offline. More info here: https://t.co/1z13MJsB33 /NQ,5.0,5.0,5.0
79,@SpotifyCares Samsung galaxy tablet all updated versions.,@769808 Thanks. Does logging out &gt; restarting your device &gt; logging back in make any difference? /AN,,,,,@769808 Thanks. Does logging out &gt; restarting your device &gt; logging back in make any difference? /AN,4.0,4.0,4.0
80,"@SpotifyCares is it possible to have my user id changed to somewhat readable, instead of random numbers?","@434469 2. username. Don't worry, we'll let the right team know it's something you'd like to see. For anything else, let us know /GU",,,,,"@434469 2. username. Don't worry, we'll let the right team know it's something you'd like to see. For anything else, let us know /GU",,,
81,"@SpotifyCares Hi, My family account got kicked an account kicked off but that is at the same address. Your website won't allow me to re-add",@558769 Hey Cooper! Help's here. Can you DM us the email address of your family member's account? We'll have a look under the hood /DD https://t.co/ldFdZRiNAt,,,,,@558769 Hey Cooper! Help's here. Can you DM us the email address of your family member's account? We'll have a look under the hood /DD https://t.co/ldFdZRiNAt,,,
82,@SpotifyCares hi someone who isn't authorized is using my spotify acc. how can i prevent that person from doing so any further?,"@614818 Hey, that doesn't sound right! Can you DM us your account's username or email address? We'll take a look backstage /JP https://t.co/ldFdZR1cbT",,,,,"@614818 Hey, that doesn't sound right! Can you DM us your account's username or email address? We'll take a look backstage /JP https://t.co/ldFdZR1cbT",,,
83,@SpotifyCares I got chat and got it taken care of easily. Thanks for the support.,@135369 Awesome! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /PB,,,,,@135369 Awesome! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /PB,,,
84,@SpotifyCares Feels like my account has been duplicated and used by someone else. Songs keep pausing and when I check someone is playing music on a different device not owned by me!!!!!!!!!,"@723217 Hey, we've come to the rescue! Could you DM us your account's username or email address? We'll check behind the scenes /RE https://t.co/ldFdZRiNAt",,,,,"@723217 Hey, we've come to the rescue! Could you DM us your account's username or email address? We'll check behind the scenes /RE https://t.co/ldFdZRiNAt",,,
85,Someone explain to me how there are Africana songs on @115888 but there is no Spotify anywhere in Africa?,@449214 1: Hi! It all boils down to licensing agreements. We're launching in new countries as often as possible...,,,,,@449214 2: Be sure to add your email at https://t.co/X8DVSX9QgM /RB,,,
86,"@SpotifyCares Restarting doesn't do anything, and I'm connected to a home network.","@164929 Alright. Can you check if restarting your router does the trick? Also, when did this start to happen? /DV",,,,,"@164929 Alright. Can you check if restarting your router does the trick? Also, when did this start to happen? /DV",,,
87,HELP!! I CANT FIND THE CMBYN SOUNDTRACK ON SPOTIFY,"@556673 Hey there! We’d love to have all the world's music available, but we have some info about content here: https://t.co/YlV1IAXwsi /MA",,,,,"@556673 Hey there! We’d love to have all the world's music available, but we have some info about content here: https://t.co/YlV1IAXwsi /MA",,,
88,@SpotifyCares Will there ever be a shortcut for it,@503711 We can see how that’d be useful. You can vote for the official idea here: https://t.co/iqGpFKXhcz /MU,,,,,@503711 We can see how that’d be useful. You can vote for the official idea here: https://t.co/iqGpFKXhcz /MU,,,
89,@115888 why are you suggesting Taylor Swift in my Jojo's Bizzare Adventure OST playlist,"@731482 Hey Stephen! To reduce the number of Suggested Tracks you get, try adding more artists into your playlists. Let us know if there's anything else /AP",,,,,"@731482 Hey Stephen! To reduce the number of Suggested Tracks you get, try adding more artists into your playlists. Let us know if there's anything else /AP",,,
