golden_id,customer_issue,support_response,human_relevance,human_helpfulness,human_response_quality,human_notes
14,UWP Spotify client? 🤷‍♂️ Soon would be nice. Thank you.,"Hey Jeremiah! We don’t have any new info about this, but we’ll remind the team it’s a popular request. In the meantime, check out the official idea and add your vote to let our devs know it's something you'd like to see: /RK",,,,
15,"Anyone else getting really strange or explicit ads, even with premium?","Hi Mitchell, help's here. Can you DM us your account's email address? We'll check under the hood /NY",,,,
16,"messaged you guys on PM about my verified artist page wrong tracks, please reply to let me know if you guys can fix it 😊","Hi, help's arrived! We've just replied to your DM. Let's carry on chatting there /DV",,,,
17,your customer service is poor.... today I was advised to change the password on my hacked account ... might be a challenge don’t you think ?!,Sorry to hear you feel that way. We've just sent you more info via DM. We'll continue helping out there /LS,,,,
18,how do you save albums on the new format,"Hey there! Don’t worry, we can help. Can you let us know the device/OS you’re using? We'll see what we can suggest /RV",,,,
19,"when is reputation going to come out on spotify USA?? i read that it's available on spotify in other countries, but when i checked reputation on my Spotify it only had 4 songs - the singles!","Hey! We're working on it, and we hope to have it available soon. There's more info here: /VK",,,,
20,... I can't seem to get my payment info to update. Can you please contact me ..,"Hey Heather! We don't have phone support now, but we can help you here. Can you DM us your account's username? We'll check backstage /JP",,,,
21,stranger things mode pls explain?!,Hey Sophie! The Stranger Things Mode is an easter egg feature that adds some animation to your app. Hope you like it 😁 /KM,,,,
22,please provide an algorithm that'll personalize my Discover Weekly even more by disliking songs that are suggested. There should be an option to not like songs that are added to the playlist every Monday.,"Hey! We're afraid this isn't possible right now, but you can add your support for the idea here: Give us a shout for anything else /JS",,,,
23,"My songs were laid out under different pseudonyms, Aveg and A. Vega. Correct it and merge my tracks under the pseudonym of Avega.",Hey there! We’d recommend reaching out to your distributor. They'll work with our team to make sure your artist page gets fixed up /MT,,,,
24,Unable to login due to website telling me my account is linked to Facebook when it is not.,Hi there! Can you DM us your account's username or email address? We'll take a look under the hood /JM,,,,
25,"Hey , are you ever gonna launch in india ever... Been waiting since more then 10 year, and i am listening since 2009. #Spotify",Hi there! We're launching in new countries as often as possible. Be sure to add your email at 🙂 /NH,,,,
26,"I’m a family plan member, how come when my wife is on it boots me off? It never used to.",Hey Chris! We'll help out. Can you DM us your account's email address? We'll take a look under the hood /AN,,,,
27,"Hey, how come you don't have a halloween or Christmas section in your moods category?","Hi! Our Curation team are independent. They use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion /CX",,,,
28,Hey why are you putting songs I can't listen to on my release radar,"Hey Morgan! We don't have any info on this right now, Thanks for the feedback. We’ll get this passed onto the right team /GU",,,,
29,"you guys suck, who in the hell would pay for spotify when you guys have no contact number. Your service sucks. Your thieves! 😈","Hey, help's here! We've just sent a DM your way. We'll carry on chatting there 🙂 /Q",,,,
30,you have such high quality branding but why are you adds so annoying? You have so much potential,"Thanks for your feedback - we'll pass it on. For now, check out if you haven't had a subscription before 🙂 /CG",,,,
31,Whats up with the app speed? Takes minutes for playlists/Albums to load on iOS apps on iPhone 7& iPad #SlowMoMusic,Hi Tom! Can you let us know your devices' operating systems and Spotify versions? We'll see what we can suggest /GT,,,,
32,having problems when i shuffle play music by albums. is spotify as a whole having issues or just me today?,"Hey there, help's here! What’s happening exactly? Can you let us know the device/OS you’re using? /JO",,,,
33,", my FB account was hacked. And my Spotify account was logged in through FB. How am I supposed to cancel my subscription and start a new one, when I can’t access the account for logging in to me Spotify account. ?? Please help!!!!! 🤯 !!!!!!",Hey there! Can you send us a DM with your account's email address? We'll take a look backstage /AR,,,,
34,I haven't given permission for storage on my little tablet so why's there so much data being stored? 117mb app 660mb data?!,Hey there! What operating system and Spotify version are you using on your tablet? We'll see what we can suggest /NG,,,,
35,I need help with a school project; I can’t find support on the website or but could you tell me how many of your users are teenagers?,Hi Eddie! We've just sent you a bit more info over DM. We'll carry on helping out there /QI,,,,
36,i want to see my friend activity on my mobile app make it a thing tysm,Hey there! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /NQ,,,,
37,why isn’t s album on Spotify?,Hey! We’ll have it available to you as soon as it’s available to us: /RA,,,,
38,really... I'm really trying... Anyone else getting this after today's update? #groovemusic #spotify,"Hey there! Just to check, do you have the latest version of the Groove Music app running when this is happening? 🙂 /M",,,,
39,why can I not use PayPal to pay for student premium???,"Hey! Right now, PayPal isn’t an available payment method for the student discount in your country. Apologies for any inconvenience /RV",,,,
40,"Hey , this Koisuru Universe EP by is 2017 EP, not 2009 😒😕 Make it right, please. Thx.",Hey! Thanks for bringing that up. Can you try this link instead: /CO,,,,
41,cant get on your website... just getting a error message,"Hey, help's here! What's the exact error message you're getting? Does clearing cache/cookies on your browser help at all? We'll see what we can suggest /NJ",,,,
42,I need to have a sleep timer,Hey Syd! We hope you share your idea here: Thanks for the awesome feedback 💚 /JQ,,,,
43,Need help with my account. apparently my email is connected to a Facebook account that I no longer have. how can all of my information be deleted so I can register new without Facebook?,Hi there! Can you DM us your account's username or email address? We'll take a look backstage /AP,,,,
44,Hey WHY ISNT MIRANDA LAMBERTS GUNPOWDER AND LEAD ON SPOTIFY BUT THE REST OF THAT ALBUM IS ?!?!?!?,"Hey Daniel! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /MQ",,,,
45,I just added my family acct. to my Cap 1 Quicksilver card.. How will I know I get it for half price? I thought there was a special,Hi there! Could you send us a DM with your account's email address? We'll take a look backstage /DR,,,,
46,do you know if Spotify is compatible with the Nokia 216 phone?,Hey there! We're afraid we only support smartphones running iOS and Android OS. Let us know if there's anything else /AP,,,,
47,I don’t know if you guys are aware or if this is a widespread problem but for the past month or so when I shuffle songs it doesn’t shuffle right. If I have an album on a playlist it will play all the songs from that album and not play anything else. It’s annoying.,Hey! Can you let us know if you're using Shuffle with Connect? We'll check things out for you /YM,,,,
48,when will astros new albums be added pls and thanks,Hey there! We’ll have it available to you as soon as it’s available to us. There's more info at /JE,,,,
49,hello what's the hold up,Hi there! We'd love to have them on Spotify! Hopefully we will in the future. Check this out: Let us know if you have any other questions /NY,,,,
50,"Major annoyance of the week: Getting my play queue reset, probably due to a client upgrade. Why?!","Hey there! That's strange. Just to check, does it keep on resetting and the list disappears? We'll see what we can suggest /MU",,,,
51,I got Spotify premium with my plan but it doesn't work,Hey Leo! Help's here. Can you DM us your account's email address or username? We'll take a look backstage /DD,,,,
52,this song isnt on spotify and nobody will give me a straight answer as to why,Hi! Music availability all boils down to licensing matters. Fingers crossed we'll be able to have it soon. /AK,,,,
53,If I'm on android how do I control the volume through the app? I dont want to use my phones volume buttons. I want Spotify to play in the background of and have both play audio,"Hi Keith! Right now, the mobile app's volume can be controlled via your device's volume buttons. Also, if you run another app or site that requires audio, Spotify will pause the music. Hope this clears things up /MU",,,,
54,"Hey , come up with a better way to brag about finding sick beats so I don’t have to keep looking at screenshots of tracks without ever getting to hear them. Embedded integration? Does FB need a streaming play? Might be onto something here...",Hi there! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /NQ,,,,
55,"I use the Spotify web player at work and it keeps connecting to someone’s device. It keeps defaulting to it, doesn’t ask.",Hey! Can you fire over your account's email address or username via DM? We'll take a look backstage /RC,,,,
56,My recently played artists isn’t updating when I play songs from playlists only albums on my MacBook. Can you help me please?,Hey! The Recently Played Artist section doesn't update when playing songs from a playlist. We have some info at /LM,,,,
57,"cant login, says country code doesnt match account. But its the same. In Canada,",Hey Frank! Help's here. Can you DM us your account's email address? We'll take a look backstage /MG,,,,
58,"why does this happen? If I search for a song, then from that point on it will only play songs that relate to the previous search...","Hi Stephen, help's here! Can you tell us the make & model of your phone along with the OS and Spotify version it's using? /RR",,,,
59,Ok you got til I get out of my 9am to explain wtf y’all did with take care,"Hey Rickey! Fingers crossed we'll be able to have it to you again soon, but there's info about Spotify content here: /KM",,,,
60,how do I get talking to someone about my account?,"Hey Paul, help's here! Can you give us more info about what's happening via DM? Your account's email address and username will also be super helpful /WP",,,,
61,"hai, bisa minta no. contact spotify Indonesia? Saya sudah bayar premium, tapi blum terupgrade. Terima kasih","Hey there! We can help out in English via Twitter, but we also have Indonesian support via email at /LM",,,,
62,I purchased promo code via grab to get 1 month premium. Until now I'm still in free service. Done with troubleshooting.,"Hey, help's here! Could you send us a DM with your account's email address or username? We'll take a look backstage /CO",,,,
63,Hy could you guys make something like block artists we don't like so it will stop being sugested to us? Thank you,"Hey! It's not possible for now, but you can support the idea by adding your vote at /CB",,,,
64,Cant update payment info because mobile site routes me to student plan which i dont have. What do?,Hi Zach! Could you send us your account's username or email address via DM? We'll take a look backstage /LP,,,,
65,"Hi Since I'm a #GrooveMusic migrant, why is the 60 day trial not being offered to me? #neverhadpremiumbefore","Hey Marco, help's here. Could you send us a DM with your account's email address or username? We'll take a look backstage /AY",,,,
66,"I just received emails saying my email address was changed, my plan was changed to Family and my zip code was changed. I did not authorize any of this and it appears this is happening to others on twitter as well. Please let me know what happened ASAP.","Hi there, we’re sorry to hear that. Check out for what to do next /AK",,,,
67,how do I change my payment details (my new card is issued in another country) without changing my country (I haven't moved),Hey! You can update your payment info following the steps at We hope that helps /CB,,,,
68,"dear admin.... can you please fix this artist name? -- the name should ""d'Masiv"" Thx so much!",Hey there! Thanks for the feedback; we'll get this reported 🤘 /KT,,,,
69,no offence but removing the message feature was your worst mistake x,"Hey there! We hear you loud and clear. Rest assured, your feedback will be passed on to the right folks /JI",,,,
70,"Alright, let’s get #Reputation up now, mmkay?","Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /DF",,,,
71,Aight how about not playing horror movie ads when I’m listening to music to sleep?,"Hi Jake! Sorry, we didn't mean to scare you. We'll pass your feedback on to our Ads team /AC",,,,
72,"in all seriousness, when is the PNB Rock Unforgettable remix gonna be on","Hey Jordan! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /RV",,,,
73,I paid for my subscription on the 5th. Is there any way I can stop service sooner than a month from now and get a refund?,We've just sent you a DM 🙂 /SU,,,,
74,"Hey , can we get all of Lil Wayne’s mixtapes?","Hi Cooper! We’d love to have all of his stuff available, but we have some info about Spotify content here: /LP",,,,
75,Unable to recover my account if the facebook associated with it has been closed. Cannot reopen facebook. This is only way to contact you...,"Hey Steven, help's here! Could you DM us your account's email address? We'll take a look backstage /CG",,,,
76,"Bonjour, je ne reçois plus aucun mail de Spotify car je n'ai pas de réponse du support, comment vous contacter autrement?",Hey! We just replied to your DM with more info. Check your messages /CB,,,,
77,Hey! What's wrong? I have enough money.,"Hey, help's here! Can you DM us your account's email address? We'll check backstage /LW",,,,
78,Hey u used to be cool... #wantmypremiumaccountback,"Hi there, the cavalry's here! Can you DM us your account’s email address and username? We'd love to help out /JI",,,,
79,Hey Spotify I'm having some issues with a family plan. Recently my mom had to get a new debit card and had to set up a new plan. When she tries to add my account to the plan is says that there is a problem. Would you be able to help me out?,Hey! Can you DM us the email addresses registered in both of your accounts? We'll take a look backstage /MG,,,,
80,Where is Take Care (Deluxe) by Drake it isn’t on the platform anymore,"Hey Gavin, sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /BX",,,,
81,anyoe else having trouble with on Android Samsung Galaxy s7?,"Hey Raphael! Don't worry, we're here to help. Can you let us know what's happening exactly? We'll see what we can suggest /RI",,,,
82,stop putting clean versions of songs on my release radar #fuckcensorship,"Hey there! We hear you! To help make it happen, we’d recommend showing your support for the idea here: /CH",,,,
83,so rogers gave me a 2 year subscription and Spotify says its 6 months...who else is getting the run around on this? Rogers directs me to spotify and I can't even contact spotify to question it except this way. A process I don't use with much comfort at all.Solution?,Hey Sean! Can you send us a DM with your account's email address or username? We'll take a look backstage /AR,,,,
84,"Hey how come a bunch of #Morrissey releases aren’t visible when I go to his page, but they all show up here?","Hi Alex! We'd love to check it for you. Can you send us the Artist Link, along with the names of the albums you're looking for? Just tap the three dots > Share > Copy Artist Link. Also, what country is your account set to? /MC",,,,
85,Here’s a song for you… I Am the Resurrection - Remastered by The Stone Roses inform intetnational users when purchasing a gift card to use #GoodShit im getting flogged tonight ...#DrunkAsTenCunts #Flaggon hashtagFlaggon FlaggonHard,Hey! Could you send us a DM with your account's email address or username? We'll take a look /AY,,,,
86,will you guys have Nicki's song dropping at 12 tonight,"Hey! Fingers crossed we'll be able to have it by then, but there's info about Spotify content here: /RH",,,,
87,"my account got hijacked today. No verification, nothing? Not cool, guys.","Hey Karthik, we're here to help! Can you DM us your account's username or email address? We'll take a look backstage /JP",,,,
88,please put the album (Oracle by kittie). What happened to it?? #Kittie,Hey! We’ll have it available to you as soon as it’s available to us. There's more info about content here: /MU,,,,
89,"When using the search my results are very jumbled and unreadable. I have an iPhone 7 with the latest update. I have deleted the app and reinstalled and still get jumbled, unreadable results. Are you familiar with this? Don’t like it, a deal breaker.",Hey Kyle! Can you let us know the iOS version you're using? We'll see what we can suggest /AR,,,,
90,is the web player and the app down? cant seem to listen to music,Hey Marlon! Everything should be running smoothly now. Let us know if this is still happening /GS,,,,
91,I absolutely love when your service doesn't work when I am paying for your Premium option,"Hi! Can you tell us more about what's happening? What device, operating system, and Spotify version are you using? We'll lend a hand /MV",,,,
92,"i have the Spotify student and Im unable to log into my Hulu, I’ve sent DM",Hey! We've just sent you a bit more info over DM. We'll carry on helping out there /NQ,,,,
93,add echame la culpa on top Today's hits,"Hey there! Our Curation team are independent & use taste, data, research, and trends to create and update playlists, but we’ll pass on your suggestion 👍 /DB",,,,
94,you have a timeline for a HiFi/lossless option? Debating moving to,Hey Francis! We've replied to your DM. Check your inbox /LM,,,,
95,"hello there, has anyone acknowledged my DM? Or please may you provide an email address so I pursue my query. Thanks.","Hey Priyanca! Did you get a response yet? If not, can you let us now what's happening exactly? We'll see how we can help /JP",,,,
96,"Y'all know I love Taylor Swift, but I have a bone to pick. Why is her new album not on ?? I mean genius move but still.","Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: /NY",,,,
97,when are you dropping an update that’ll actually optimise Spotify with my iPhone X and get rid of them dirty black bars,"Hey! We're working on this as we speak, but we don't have a release date yet. Stay tuned /TJ",,,,
98,"Why can’t I control from my lock screen anymore, ... is this a power move?",Hey Lynn! Does logging out and back in help? Restarting your device is also worth a try. Let us know how it plays out /GU,,,,
99,why is this happening? A lot of people reported this “bug” and it only happens with 5H song. Explain!,Hey! Can you fire over the device's make/model and the Android/Spotify versions you're using? We'll see what we can suggest /JS,,,,
100,"Hey, your app is being a right twat right now.",Hey! What's happening exactly? Can you let us know the device you're using as well as its operating system and Spotify versions? /JL,,,,
101,"ive been charged with monthly premium charges h/ever when im about to cancel my subscription,it show that im not under premium","Hey there, help's here! Can you DM us your account's email address and username? We'll take a look backstage /CG",,,,
102,Is there an Apple Watch app being developed atm? Could you just release a statement on this. It's been 3 years now,"Hi Marcus! We don't have any info to share right now, but we'll let the right team know it's something you'd like to see /KL",,,,
103,how do I contact somebody about payment issues? Please get in contact with me,We've just sent you a DM 🙂 /PX,,,,
104,App seems to be broken on my iPhone X 😢,Hey Jon! Everything should be running smoothly now. Let us know if this is still happening 🙂 /GN,,,,
105,I'm having a problem to use spotify on PC I'm online bt spotify shows offline I can't sreaming song please help me,"Hey, help's here! Can you let us know both the operating system and Spotify version you're using? We'll see what we can suggest /GK",,,,
106,So why is the dvsn album not out yet in the UK ??? Like Really ??? #MorningAfter,"Hey Danilo, we’ll have it available to you as soon as it’s available to us! /GK",,,,
107,please can you get this out of my face. Are you a respectable music service or have you become a social nonsense service?? Maybe we need an on/off switch for BS.,"Hi David. Thanks for bringing this up. We're sorry about this. Don't worry, we'll pass on your thoughts to the relevant folks /JU",,,,
108,do you know when Fresh Finds Six Strings will be updated this week? It’s usually updated every Tues.,"Hi! Don't worry, we've given a nudge to our Curation team about this. If there's anything else we can help with, just let us know /RC",,,,
109,Honestly confused why doesn’t show who follows playlists... let me see my fans!!,"Hi there! We're afraid it's not possible to view who follows your playlists, but we can see how that’d be useful. You can vote for the official idea here: Hope this clears everything up /AK",,,,
110,"i couldn't get premium.always face with error while purcahsing.Also, i can't find any ""ask us"" link in webs.I m writing from turkey",Hey there! Can you DM us your account's username or email address? We'll see what we can suggest /TC,,,,
111,I have premium with my contract. It was given an end date of today in error but my contract doesn't end until April. I spoke to them and they said they'd fixed it but it's still showing as Spotify Free. Can you help?,"Hey David, help's here! Can you DM us your account's email address? We'll take a look backstage /JN",,,,
112,"Hi, I would like to change my discover weekly picture for personal reasons and just cant, despite deleting the app and getting rid of the pic on FB - please help!",Hi Shemina! Help's here. Could you DM us your account's email address? We'll take a look backstage /AU,,,,
113,what's goin on with the app yo?,"Hey. We had a little hiccup earlier, but everything should be running as smooth as Smooth Jazz now! /JE",,,,
114,hey spotify subscriber friends - if you're signed up through itunes you're paying $3 extra a month. double check your subscription - I realized I've been overpaying forever!,Hey Jacin! Can you DM us your account's username or email address? We'll check backstage /NG,,,,
115,I feel like the Xmas hype starts earlier every year. Why you recommending me Xmas songs already !?Pleeease people not till December! #grinch #Xmas 🙈🙈🙈,Hey! We'd love to help out. Can you let us know if you're getting those as songs in recommended playlists or as Suggested Tracks? We'll see what we can suggest /MU,,,,
116,whats up with the constant #ChipmunksMode that causes music to randomly play at 4x speed with no resolve but to force quit/restart?,"Hi there, the cavalry's here! Can you let us know what device/version of Spotify you're using? We'll see what we can suggest /JI",,,,
117,hi. where can i inquire about outstanding SfA access requests? still waiting on my whole label's roster. tvym,"Hey Adam, help's here! Could you DM us the email you used to register to Spotify for Artists with? We'll reach out to the right team /T",,,,
118,why is a redeem code not working? As sent by you. It says code invalid!,"Hey there! Don't worry, we're here to help. Can you DM us your account's email address or username? We'll take a look backstage /MT",,,,
119,please add Code Red songs..🙂,Hey there! We’ll have it available to you as soon as it’s available to us! /DB,,,,
120,"Hey , just looking through my analytics. What falls under ""All Other Sources""?","Hey there! All Other Sources includes streams from devices the listener connected to through Spotify Connect, and from non-app widgets such as the Spotify Play Button, which artists and fans can embed in their websites /P",,,,
121,neat feature would be playlist-specific settings i.e. ability to set diff cross fades for diff playlists #ux,Hey Jordan! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /MT,,,,
122,For some reason we no longer have Premium Spotify but still paying for it.,Hey there! We've just sent you a DM 🙂 /DF,,,,
123,"Hey how you do get your ""Discover Weekly"" playlist cover to change (I know it pulls mine from Facebook).","Hi there! If your account is connected to Facebook, we use your profile picture as the cover image. It can take a few weeks for your Discover Weekly artwork to update after updating your FB profile pic. Sorry for the delay! More info: /NQ",,,,
124,"Hi, my account has been hacked and my email address changed. I now can't access my account at all. Help!","Hey Rob, that's not cool! Could you DM us your account's username and email address? We'll take a look backstage /JX",,,,
125,Why does spotify just randomly decide to delete half your music🙃,"Hey Dylan! That doesn't sound right. Just to check, are you referring to the tunes you've saved for offline listening? /LP",,,,
126,could you clarify what the design goal is for your apps? They look like something a toddler would do. Messy and makes no sense,"Hi Andreas! We're afraid we don't have any info to share right now, but we'll make sure to pass your feedback on to the right team /AU",,,,
127,"so where’s next, subscription fail, this massive error is costing you customers","Hi there! If you're trying to subscribe, you can head to Opening it on a different browser or an incognito window might help. Let us know how it goes /JM",,,,
128,would loooove to take my students from #ScriptEd on a field trip to your office this year..we did so last year and for a lot of students was VERY mind-opening..please let me know if you'd be interested 🙌,Hey David! We suggest getting in touch with our Press team at They'll be able to help you with this 🙂 /LM,,,,
129,Good job on the quick fix great service is fast reaction to problems,"Hi Grayson! Thanks for the kind words. Just give us a shout if you need us, and we'll come running 🏃 /GT",,,,
130,"Someone has hijacked my Spotify Premium account, and I am unable to login. Can I please get some assistance to get this fixed?","Hey Diane, help's here! Could you DM us your account's email address and username? We'll take a look backstage 🙂 /CG",,,,
131,No you cannot. You can rearrange SONG order. You CANNOT rearrange PLAYLIST order.,"Hmm, that's odd. Can you DM us your account's username and email address? We’ll take a look backstage 🔍 /TR",,,,
132,"Halloj! Kommer ni släppa albumet ""A Triumph for Man"" med Mew framöver? Det stör mig lite att den saknas. Tack på förhand. Mvh Per","Hi Per! We can help out in English via Twitter, but we also have Swedish support via email at /AY",,,,
133,Please introduce Beatmatching when crossfading is enabled. That would advance Spotify to a whole new level,"Hey there! To help make this happen, add your support to the official idea here: /LO",,,,
134,you ok lil buddy? Lookin a little sad when I open you on the new iOS update.,"Hey Miles! That doesn't good? What's the device, iOS and Spotify versions you're rocking? We'll see what we can suggest /AP",,,,
135,Okay but why isn't the soundtrack to the first cheetah giel movie not on spotify? The album has legit bops. wyd?!?!?!,Hi Sarah! We’ll have it available to you as soon as it’s available to us! /DR,,,,
136,"how can I change my account from ""login with facebook"" to login with an email & password?","Hey there, help's here! Can you DM us your account's email address? We'll see what we can suggest /MO",,,,
137,Hey i got an email about the majid jordan presale ending at 11pm est but there's no place to put the access code on the website :(,Hey! We've just replied to your DM. Let's continue chatting there /GT,,,,
138,"where is the ""if you ever recommend another edited song to me I'm gonna cancel my account"" button?",Hey! Spotify doesn’t censor music – we make it available in whatever form it’s given to us. More info here: /MT,,,,
139,"After 5 years I Cancelled because I can’t shuffle ALL songs on iOS mobile any more. Was always a hack to set up. Any recommendations (Apple,Play). Can they truly randomly shuffle All music? Are there Spotify playlist importers?","Hi Michael, help's here! Can you DM us your account's email address? We'll take a look backstage /JN",,,,
140,How come there are songs that I can play fine on mobile but aren't available on desktop apps? It's really quite aggravating,"Hi, help's here! Can you let us know if you're referring to your offline tracks? Can you also let us know the devices' models and OS? /PL",,,,
141,"I was charged the full Spotify premium fee but I was on Spotify student, if I resubscribe will I be refunded the extra cost?","Hey Jackie, help's here! We just replied to your DM, so let's carry on chatting there for your account's security 🙂 /RR",,,,
142,my app stops playing music when I switch in between apps. What’s up with that?,"Hi! Just to clarify, does your app stop whenever you change tracks? What device, operating system, and Spotify version are you using? /AU",,,,
143,Why are two EPs missing from again?,"Hi there! Sometimes content is temporarily removed due to licensing, but we hope to have those EPs back soon: /GK",,,,
144,"I have an android. Songs are playing double time. this happens a lot, goes back to normal and then 2x again. What do I do?","Hi, help's here! Can you let us know your phone's Android and Spotify versions? We'll see what we can suggest /DV",,,,
145,Need help recovering my spotify account. It is recognising my username but not my email address,Hey! We've just sent you a bit more info over DM /PB,,,,
146,"Please, bring the feature back.","Hey there! We're afraid we don't have any info on this right now, but you can suggest it in our Community at 🙂 /CH",,,,
147,"help pls, my app updated and some albums won't play /-:","Hey there! Don't worry, help's here. What device, operating system, and Spotify version are you using? We'll see what we can suggest /MT",,,,
148,Seriously sort your shit out,"Hi Rosie, help's here! Can you give us more info on what's happening? We'll see what we can suggest /DV",,,,
149,Basically I usually save my Discover Weekly last thing Sunday night but this week it updated an hour early; can u please redo?,"Hey, we're unable to recover your previous Discover Weekly. Make sure to save your favorites so you don't miss out in the future! /MA",,,,
150,"hello, I already paid for premium but why does it still on free mode?",Hey there! Can you DM us your account's email address or username? We'll check backstage /AR,,,,
151,The audacity has by playing songs that are not in my playlist is unreal.,"Hi, sorry to hear that. Are you currently on Free or Premium? Do you also hear the song in between tracks or at the end of the playlist? /RE",,,,
152,i already cleaned the cache...,Hey there! Can you send us the Song Link? Just tap the three dots > Share > Copy Link. What country is your account set to? /NS,,,,
153,"So as i am a regular premium user, my friend decided to try Spotify. and promptly uninstalled it because you cant even select songs. You guys still have that Arbitrary Phone only restriction? Why? If anything it just turns people off...","Hey there. Sorry to hear your friend didn't like to mobile app. It's currently not possible to choose a song with the Free service on mobile, but we'll pass your feedback on to the team. More info here: /RH",,,,
154,"I can't log in to my account cos my account was set to offline, I click to go online while trying to log in and it just stays on a black screen?","Hey! Help's here. Can you let us know what device, operating system, and Spotify version you're rocking? We'll see what we can suggest /RA",,,,
155,". you fucking suck, I love you",Hey there! We didn't do anything wrong did we? Can you let us know what's happening exactly? /PB,,,,
156,"pleaseeeeeeee, please put a way to sort through your music in playlists.. like newest to oldest, oldest to newest.. #LoveYou",Hey there! You can find more info about sorting and filtering tracks here: Hope that helps /NQ,,,,
157,"hi i live in the USA and theres a song on Seventeen’s new album that is listed but wont play. i, along with everyone else, is unable to listen to the song. please advise.","Hey there! We’d love to have all of their stuff available, but we have some info about content here: /GK",,,,
158,will reputation be available this week?,"Hey! Taylor Swift's 'Reputation' isn't available to stream yet – stay tuned! For now, check out the singles: /JX",,,,
159,"Why is it im only allowed to use my Spotify abroad for only 14 days? I pay for it, thats a fucking joke",Hey! Can you DM us a screenshot of the latest Spotify receipt you got? We'll take a look backstage /JL,,,,
160,"i've been charged student rate and full rate twice, whats the story? should only be student rate",Hey there! We've just sent you a bit more info over DM. We'll carry on helping out there /PB,,,,
161,Hi I created playlists via my Mac desktop and went later when I wanted to play them via my iphone...none of my playlists were available to me :( What do I do? thanks for your time!,Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ,,,,
162,"took some of my favorite songs off, I was gonna let it slide but they took off Troubadour by George Strait & that ain’t gonna fly",Hi Sunny! Can you let us know what device and version of Spotify you're using? We'll see what we can suggest /DR,,,,
163,"I was charged $10 this month even though I should be on student discount, can you help fix that?","Hey there, help's here! Can you DM us your account's email address? We'll take a look backstage /CG",,,,
164,"Hey there - big fan - can I rename audio devices such as Fire Sticks and Google Play devices to ""Family Room"" and other rooms?","Hi Rob! This isn't possible yet, but you can suggest it in our Community page at and get support from others 🙂 /NY",,,,
165,hey what happened to the album on spotify?????,Hey Ryan! We've just replied to your DM. Let's continue chatting there /GT,,,,
